parameter,completed_trials,unique_values,minimum,maximum,values
batch_size,5,2,64.0,128.0,"128, 64"
depth,5,3,2.0,5.0,"2, 4, 5"
dropout,5,5,0.16358783345820788,0.41126270037994017,"0.16358783345820788, 0.18415302442953638, 0.2694619197355619, 0.2824601328866194, 0.41126270037994017"
head_dim,5,2,128.0,256.0,"128, 256"
head_dropout,5,5,0.15897470850401607,0.38909882815030883,"0.15897470850401607, 0.23844380867587958, 0.2710590311253639, 0.28362871681672647, 0.38909882815030883"
learning_rate,5,5,0.00016283591083632567,0.0017288058885750873,"0.00016283591083632567, 0.00020348682523113558, 0.00033965402163917304, 0.0006903521707993515, 0.0017288058885750873"
weight_decay,5,5,2.4232243900608937e-06,0.006007249475906206,"0.005039489598671216, 0.006007249475906206, 2.4232243900608937e-06, 4.418125737902548e-06, 5.59922365406335e-05"
width,5,2,8.0,16.0,"16, 8"
