parameter,completed_trials,unique_values,minimum,maximum,values
batch_size,8,3,64.0,256.0,"128, 256, 64"
depth,8,3,2.0,5.0,"2, 4, 5"
dropout,8,8,0.10751592017454206,0.3957054317593207,"0.10751592017454206, 0.12841442327915478, 0.1473097703475733, 0.21576243717888044, 0.2694619197355619, 0.3266405816826301, 0.36670668617826707, 0.3957054317593207"
learning_rate,8,8,0.0002738009685831704,0.0026512259742974293,"0.0002738009685831704, 0.0002923653641656045, 0.0005899745093938507, 0.0007091576793635641, 0.001410690937355148, 0.001676659739518327, 0.00247759517096838, 0.0026512259742974293"
weight_decay,8,8,1.044195710380448e-06,0.00521416524244723,"0.0005336803302756717, 0.003020289640158668, 0.00521416524244723, 1.044195710380448e-06, 2.849988343697162e-05, 2.984770033451217e-06, 3.417952912061011e-05, 4.556671913921479e-05"
width,8,3,8.0,32.0,"16, 32, 8"
